date,market,category,commodity,unit,price,H-date
8/15/2012,National Average,vegetables and fruits,Apples (red),KG,1.94,8/15/2012
8/15/2012,National Average,vegetables and fruits,Bananas,KG,0.85,8/15/2012
8/15/2012,National Average,vegetables and fruits,Cucumbers,KG,0.69,8/15/2012
8/15/2012,National Average,vegetables and fruits,Garlic,KG,2.2,8/15/2012
8/15/2012,National Average,vegetables and fruits,Onions,KG,0.58,8/15/2012
8/15/2012,National Average,vegetables and fruits,Oranges (big size),KG,1.09,8/15/2012
8/15/2012,National Average,vegetables and fruits,Tomatoes,KG,0.79,8/15/2012
9/15/2012,National Average,cereals and tubers,Bread (pita),KG,0.17,9/15/2012
9/15/2012,National Average,cereals and tubers,Potatoes,KG,0.7,9/15/2012
9/15/2012,National Average,cereals and tubers,Rice (imported),KG,1.1,9/15/2012
9/15/2012,National Average,"meat, fish and eggs",Eggs,2 KG,3.46,9/15/2012
9/15/2012,National Average,"meat, fish and eggs",Meat (beef),KG,9.2,9/15/2012
9/15/2012,National Average,"meat, fish and eggs",Meat (chicken),KG,2.16,9/15/2012
9/15/2012,National Average,"meat, fish and eggs","Meat (chicken, whole)",KG,1.45,9/15/2012
9/15/2012,National Average,"meat, fish and eggs",Meat (lamb),KG,11.61,9/15/2012
9/15/2012,National Average,milk and dairy,"Cheese (white, boiled)",KG,4.31,9/15/2012
9/15/2012,National Average,milk and dairy,Milk (pasteurized),L,1.17,9/15/2012
9/15/2012,National Average,miscellaneous food,Sugar,KG,0.8,9/15/2012
9/15/2012,National Average,oil and fats,Oil (olive),KG,5.79,9/15/2012
9/15/2012,National Average,oil and fats,Oil (vegetable),1.8 L,1.88,9/15/2012
9/15/2012,National Average,pulses and nuts,"Beans (fava, dry)",KG,1.48,9/15/2012
9/15/2012,National Average,pulses and nuts,Chickpeas,KG,1.88,9/15/2012
9/15/2012,National Average,pulses and nuts,Lentils,KG,1.24,9/15/2012
9/15/2012,National Average,pulses and nuts,Pulses,KG,1.5,9/15/2012
9/15/2012,National Average,vegetables and fruits,Apples (red),KG,1.87,9/15/2012
9/15/2012,National Average,vegetables and fruits,Bananas,KG,0.83,9/15/2012
9/15/2012,National Average,vegetables and fruits,Cucumbers,KG,0.78,9/15/2012
9/15/2012,National Average,vegetables and fruits,Garlic,KG,2.46,9/15/2012
9/15/2012,National Average,vegetables and fruits,Onions,KG,0.61,9/15/2012
9/15/2012,National Average,vegetables and fruits,Oranges (big size),KG,1.2,9/15/2012
9/15/2012,National Average,vegetables and fruits,Tomatoes,KG,0.71,9/15/2012
10/15/2012,National Average,cereals and tubers,Bread (pita),KG,0.17,10/15/2012
10/15/2012,National Average,cereals and tubers,Potatoes,KG,0.69,10/15/2012
10/15/2012,National Average,cereals and tubers,Rice (imported),KG,1.1,10/15/2012
10/15/2012,National Average,"meat, fish and eggs",Eggs,2 KG,3.4,10/15/2012
10/15/2012,National Average,"meat, fish and eggs",Meat (beef),KG,9.26,10/15/2012
10/15/2012,National Average,"meat, fish and eggs",Meat (chicken),KG,2.24,10/15/2012
10/15/2012,National Average,"meat, fish and eggs","Meat (chicken, whole)",KG,1.73,10/15/2012
10/15/2012,National Average,"meat, fish and eggs",Meat (lamb),KG,11.59,10/15/2012
10/15/2012,National Average,milk and dairy,"Cheese (white, boiled)",KG,4.31,10/15/2012
10/15/2012,National Average,milk and dairy,Milk (pasteurized),L,1.17,10/15/2012
10/15/2012,National Average,miscellaneous food,Sugar,KG,0.8,10/15/2012
10/15/2012,National Average,oil and fats,Oil (olive),KG,5.79,10/15/2012
10/15/2012,National Average,oil and fats,Oil (vegetable),1.8 L,1.89,10/15/2012
10/15/2012,National Average,pulses and nuts,"Beans (fava, dry)",KG,1.48,10/15/2012
10/15/2012,National Average,pulses and nuts,Chickpeas,KG,1.88,10/15/2012
10/15/2012,National Average,pulses and nuts,Lentils,KG,1.24,10/15/2012
