date,market,category,commodity,unit,price,H-date
9/15/2012,National Average,vegetables and fruits,Cucumbers,KG,0.78,29/10/1433
9/15/2012,National Average,vegetables and fruits,Garlic,KG,2.46,29/10/1433
9/15/2012,National Average,vegetables and fruits,Onions,KG,0.61,29/10/1433
9/15/2012,National Average,vegetables and fruits,Oranges (big size),KG,1.2,29/10/1433
9/15/2012,National Average,vegetables and fruits,Tomatoes,KG,0.71,29/10/1433
10/15/2012,National Average,cereals and tubers,Bread (pita),KG,0.17,30/11/1433
10/15/2012,National Average,cereals and tubers,Potatoes,KG,0.69,30/11/1433
10/15/2012,National Average,cereals and tubers,Rice (imported),KG,1.1,30/11/1433
10/15/2012,National Average,"meat, fish and eggs",Eggs,2 KG,3.4,30/11/1433
10/15/2012,National Average,"meat, fish and eggs",Meat (beef),KG,9.26,30/11/1433
10/15/2012,National Average,"meat, fish and eggs",Meat (chicken),KG,2.24,30/11/1433
10/15/2012,National Average,"meat, fish and eggs","Meat (chicken, whole)",KG,1.73,30/11/1433
10/15/2012,National Average,"meat, fish and eggs",Meat (lamb),KG,11.59,30/11/1433
10/15/2012,National Average,milk and dairy,"Cheese (white, boiled)",KG,4.31,30/11/1433
10/15/2012,National Average,milk and dairy,Milk (pasteurized),L,1.17,30/11/1433
10/15/2012,National Average,miscellaneous food,Sugar,KG,0.8,30/11/1433
10/15/2012,National Average,oil and fats,Oil (olive),KG,5.79,30/11/1433
10/15/2012,National Average,oil and fats,Oil (vegetable),1.8 L,1.89,30/11/1433
10/15/2012,National Average,pulses and nuts,"Beans (fava, dry)",KG,1.48,30/11/1433
10/15/2012,National Average,pulses and nuts,Chickpeas,KG,1.88,30/11/1433
10/15/2012,National Average,pulses and nuts,Lentils,KG,1.24,30/11/1433
10/15/2012,National Average,pulses and nuts,Pulses,KG,1.5,30/11/1433
10/15/2012,National Average,vegetables and fruits,Apples (red),KG,2,30/11/1433
10/15/2012,National Average,vegetables and fruits,Bananas,KG,0.85,30/11/1433
10/15/2012,National Average,vegetables and fruits,Cucumbers,KG,0.8,30/11/1433
10/15/2012,National Average,vegetables and fruits,Garlic,KG,2.44,30/11/1433
10/15/2012,National Average,vegetables and fruits,Onions,KG,0.61,30/11/1433
10/15/2012,National Average,vegetables and fruits,Oranges (big size),KG,1.14,30/11/1433
10/15/2012,National Average,vegetables and fruits,Tomatoes,KG,0.56,30/11/1433
11/15/2012,National Average,cereals and tubers,Bread (pita),KG,0.17,2/01/1434
11/15/2012,National Average,cereals and tubers,Potatoes,KG,0.67,2/01/1434
11/15/2012,National Average,cereals and tubers,Rice (imported),KG,1.1,2/01/1434
11/15/2012,National Average,"meat, fish and eggs",Eggs,2 KG,3.44,2/01/1434
11/15/2012,National Average,"meat, fish and eggs",Meat (beef),KG,9.28,2/01/1434
11/15/2012,National Average,"meat, fish and eggs",Meat (chicken),KG,2.25,2/01/1434
11/15/2012,National Average,"meat, fish and eggs","Meat (chicken, whole)",KG,1.54,2/01/1434
11/15/2012,National Average,"meat, fish and eggs",Meat (lamb),KG,11.18,2/01/1434
11/15/2012,National Average,milk and dairy,"Cheese (white, boiled)",KG,4.26,2/01/1434
11/15/2012,National Average,milk and dairy,Milk (pasteurized),L,1.17,2/01/1434
11/15/2012,National Average,miscellaneous food,Sugar,KG,0.8,2/01/1434
11/15/2012,National Average,oil and fats,Oil (olive),KG,5.3,2/01/1434
11/15/2012,National Average,oil and fats,Oil (vegetable),1.8 L,1.72,2/01/1434
11/15/2012,National Average,pulses and nuts,"Beans (fava, dry)",KG,1.49,2/01/1434
11/15/2012,National Average,pulses and nuts,Chickpeas,KG,1.73,2/01/1434
11/15/2012,National Average,pulses and nuts,Lentils,KG,1.21,2/01/1434
11/15/2012,National Average,pulses and nuts,Pulses,KG,1.5,2/01/1434
11/15/2012,National Average,vegetables and fruits,Apples (red),KG,1.9,2/01/1434
11/15/2012,National Average,vegetables and fruits,Bananas,KG,0.85,2/01/1434
11/15/2012,National Average,vegetables and fruits,Cucumbers,KG,0.59,2/01/1434
11/15/2012,National Average,vegetables and fruits,Garlic,KG,2.53,2/01/1434
11/15/2012,National Average,vegetables and fruits,Onions,KG,0.6,2/01/1434
11/15/2012,National Average,vegetables and fruits,Oranges (big size),KG,1.63,2/01/1434
11/15/2012,National Average,vegetables and fruits,Tomatoes,KG,0.48,2/01/1434
12/15/2012,National Average,cereals and tubers,Bread (pita),KG,0.17,2/02/1434
12/15/2012,National Average,cereals and tubers,Potatoes,KG,0.65,2/02/1434
12/15/2012,National Average,cereals and tubers,Rice (imported),KG,1.1,2/02/1434
12/15/2012,National Average,"meat, fish and eggs",Eggs,2 KG,3.47,2/02/1434
12/15/2012,National Average,"meat, fish and eggs",Meat (beef),KG,9.27,2/02/1434
12/15/2012,National Average,"meat, fish and eggs",Meat (chicken),KG,2.25,2/02/1434
12/15/2012,National Average,"meat, fish and eggs","Meat (chicken, whole)",KG,1.59,2/02/1434
12/15/2012,National Average,"meat, fish and eggs",Meat (lamb),KG,11.17,2/02/1434
12/15/2012,National Average,milk and dairy,"Cheese (white, boiled)",KG,4.26,2/02/1434
12/15/2012,National Average,milk and dairy,Milk (pasteurized),L,1.17,2/02/1434
12/15/2012,National Average,miscellaneous food,Sugar,KG,0.8,2/02/1434
12/15/2012,National Average,oil and fats,Oil (olive),KG,5.3,2/02/1434
12/15/2012,National Average,oil and fats,Oil (vegetable),1.8 L,1.72,2/02/1434
12/15/2012,National Average,pulses and nuts,"Beans (fava, dry)",KG,1.49,2/02/1434
12/15/2012,National Average,pulses and nuts,Chickpeas,KG,1.73,2/02/1434
12/15/2012,National Average,pulses and nuts,Lentils,KG,1.21,2/02/1434
12/15/2012,National Average,pulses and nuts,Pulses,KG,1.5,2/02/1434
12/15/2012,National Average,vegetables and fruits,Apples (red),KG,1.9,2/02/1434
12/15/2012,National Average,vegetables and fruits,Bananas,KG,0.85,2/02/1434
12/15/2012,National Average,vegetables and fruits,Cucumbers,KG,0.59,2/02/1434
12/15/2012,National Average,vegetables and fruits,Garlic,KG,2.53,2/02/1434
12/15/2012,National Average,vegetables and fruits,Onions,KG,0.6,2/02/1434
12/15/2012,National Average,vegetables and fruits,Oranges (big size),KG,1.57,2/02/1434
12/15/2012,National Average,vegetables and fruits,Tomatoes,KG,0.48,2/02/1434
1/15/2013,National Average,cereals and tubers,Bread (pita),KG,0.17,4/03/1434
1/15/2013,National Average,cereals and tubers,Potatoes,KG,0.77,4/03/1434
1/15/2013,National Average,cereals and tubers,Rice (imported),KG,1.11,4/03/1434
1/15/2013,National Average,"meat, fish and eggs",Eggs,2 KG,3.61,4/03/1434
1/15/2013,National Average,"meat, fish and eggs",Meat (beef),KG,9.54,4/03/1434
1/15/2013,National Average,"meat, fish and eggs",Meat (chicken),KG,2.28,4/03/1434
1/15/2013,National Average,"meat, fish and eggs","Meat (chicken, whole)",KG,1.78,4/03/1434
1/15/2013,National Average,"meat, fish and eggs",Meat (lamb),KG,11.79,4/03/1434
